scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_180,44378.25967300001,0.466356002835593,913576.7788438784,957955.5048728812,4.753929138183594,LOCALLY_SOLVED
scenario_181,43968.05647650859,0.3173962603477293,867435.4236718427,911403.7975446116,3.682068109512329,LOCALLY_SOLVED
scenario_182,44217.356255665,0.3426781104913664,867201.6267265648,911419.3256603404,3.390053987503052,LOCALLY_SOLVED
scenario_183,44381.26950398669,0.3446020145979889,895510.2098015307,939891.823907532,5.318376064300537,LOCALLY_SOLVED
scenario_184,44280.47628232366,0.4739042593524746,917242.2807093882,961523.2308959712,3.911900043487549,LOCALLY_SOLVED
scenario_185,44659.56097440328,0.3171593924758265,876523.2209202234,921183.0990540192,4.482806921005249,LOCALLY_SOLVED
scenario_186,44102.08303605947,0.4462318229059449,862793.6837308073,906896.2129986896,3.624965906143189,LOCALLY_SOLVED
scenario_187,44407.72641389094,0.4211469961618114,905522.5379543765,949930.6855152636,3.437617778778076,LOCALLY_SOLVED
scenario_188,44316.52478294268,0.4517596010014072,898077.8315764606,942394.8081190044,3.5480759143829346,LOCALLY_SOLVED
scenario_189,43693.66065264518,0.3452171587632036,881960.0915809278,925654.0974507318,3.126660823822021,LOCALLY_SOLVED
scenario_190,44596.17466298715,0.4229980531871682,920599.0061800733,965195.6038411136,4.785937070846558,LOCALLY_SOLVED
scenario_191,44166.14919916702,0.3450092183511138,880970.9927989823,925137.4870073677,3.552839994430542,LOCALLY_SOLVED
scenario_192,44298.51510611,0.4728604350799032,901328.3154374026,945627.3034039476,3.5378258228302,LOCALLY_SOLVED
scenario_193,44660.55519849019,0.443139338382905,931250.6413833332,975911.6397211618,3.7487289905548096,LOCALLY_SOLVED
scenario_194,37451.50760386044,0.2321305320232292,1670180.2576684086,1707631.997402801,6.010179996490479,LOCALLY_SOLVED
scenario_195,44244.753763623165,0.3423089835874332,878482.0017293387,922727.0978019454,3.438364028930664,LOCALLY_SOLVED
scenario_196,44180.5064886402,0.4441496882273886,885665.263319372,929846.2139577004,3.1311850547790527,LOCALLY_SOLVED
scenario_197,44214.98026927944,0.317607402953612,873750.4058201378,917965.7036968202,3.644611120223999,LOCALLY_SOLVED
scenario_198,44514.59702119422,0.4210720897837968,956905.7678869353,1001420.7859802193,2.98752498626709,LOCALLY_SOLVED
scenario_199,44166.30412395737,0.4448619517853177,896816.7990661839,940983.548052093,3.1107101440429688,LOCALLY_SOLVED
scenario_200,44470.54847680482,0.4427167266174547,927350.9313564957,971821.9225500271,3.688091993331909,LOCALLY_SOLVED
scenario_201,39605.03770923994,0.2495503073196553,734880.7416056395,774486.0288651867,29.425047874450684,LOCALLY_SOLVED
scenario_202,44334.95776408097,0.4510655927310184,926005.3585571687,970340.7673868424,3.3191421031951904,LOCALLY_SOLVED
scenario_203,44951.40980668288,0.3947614939984467,861954.0138943446,906905.8184625214,3.5494630336761475,LOCALLY_SOLVED
scenario_204,43787.3959095819,0.3448991441613376,872671.5198430251,916459.2606517512,3.627142190933228,LOCALLY_SOLVED
scenario_205,45315.68441589814,0.5049355844785277,896415.4799230967,941731.6692745794,6.172586917877197,LOCALLY_SOLVED
