scenario,stage1_cost,stage1_pen,stage2_pen,objective,load_time,solve_time,filter_time,total_time
scenario_301,38143.08641239292,0.6434414891248891,2555249.5953203146,2593393.3251741966,2.1169049739837646,9.860193014144896,0.0,12.201404809951782
scenario_302,38123.23562067715,0.6962486522961382,2577593.0809371048,2615717.012806434,2.139122009277344,10.370973110198976,0.0,12.735175132751465
scenario_303,37953.89406388267,0.5122191279807486,2579570.9988674717,2617525.4051504824,2.13838005065918,10.268353939056396,0.0,12.618392944335938
scenario_304,37918.703815053,0.6943622049348797,2546887.1050544754,2584806.503231733,2.131047010421753,9.803637981414797,0.0,12.146137952804564
scenario_305,38494.63998711922,0.687191222857776,2623708.683583658,2662204.0107620005,2.130223035812378,10.373948097229004,0.0,12.715304136276243
scenario_306,37658.31084245715,0.6735745128471533,2761870.3527981495,2799529.3372151195,2.1354761123657227,9.946991920471191,0.0,12.29382300376892
scenario_307,37988.44622680443,0.719590267295452,2734356.8600196773,2772346.025836749,2.1335740089416504,10.062275886535645,0.0,12.423282861709597
scenario_308,37608.92912154263,0.3890320389161231,2627252.6777010686,2664861.99585465,2.136629104614258,10.120157957077026,0.0,12.468971967697144
scenario_309,38377.69208523144,0.7279188379296126,2558960.0260109412,2597338.4460150106,2.1349070072174072,10.19311809539795,0.0,12.540095090866089
scenario_310,37914.23154138509,0.6967435096392246,2588096.0310049723,2626010.959289867,2.131213903427124,9.836874961853027,0.0,12.178893089294434
scenario_311,37923.31740660091,0.3938593790959147,2667725.2240644456,2705648.9353304254,2.133518934249878,9.990494012832642,0.0,12.335654020309448
scenario_312,38093.24159075484,0.7021954331974104,2597204.879204042,2635298.82299023,2.1463918685913086,10.057328939437866,0.0,12.42972993850708
scenario_313,38375.58033216391,0.7157506881402955,2826036.190640273,2864412.486723125,2.1309192180633545,10.022501945495604,0.0,12.364897012710571
scenario_314,37972.00933026798,0.6241840099360587,2278181.994581205,2316154.628095483,2.1177542209625244,10.33669090270996,0.0,12.678786039352415
scenario_315,37772.87954445557,0.6437371100452514,2517570.1750408704,2555343.698322436,2.121345996856689,9.760310888290403,0.0,12.092355012893677
scenario_316,37328.59748796327,0.6507520677559232,2573263.119824635,2610592.3680646657,2.115763902664185,9.989415168762209,0.0,12.330991983413696
scenario_317,37825.35966144485,0.6996140754034743,2172092.852124855,2209918.911400375,2.125380039215088,10.22480297088623,0.0,12.562180995941162
