,scenario,sol1,penalty,cost,obj,infeas
0,scenario_67,sol1_23_2.txt,0.003372086119954017,380691.78117810405,380691.78455019015,0
1,scenario_67,sol1_18_4.txt,0.0024337126426626906,381465.15192519064,381465.1543589033,0
2,scenario_67,sol1_9_2.txt,0.004170367602645978,392984.3518230731,392984.3559934407,0
3,scenario_67,sol1_25_4.txt,0.002434467715768375,379512.5684581525,379512.57089262025,0
4,scenario_67,sol1_25_5.txt,1.0704587043726723,429836.009566976,429837.08002568036,0
5,scenario_67,sol1_9_3.txt,0.004170484766834485,385091.38066335797,385091.38483384275,0
6,scenario_67,sol1_21_1.txt,0.002678546791675838,362246.61941149144,362246.6220900382,0
7,scenario_67,sol1_18_5.txt,0.8429481252914484,402614.2894407847,402615.13238891,0
8,scenario_67,sol1_23_3.txt,0.003370913106574879,385136.89486785105,385136.89823876414,0
9,scenario_67,sol1_23_1.txt,0.5214725161515763,346848.9347844408,346849.45625695697,0
10,scenario_67,sol1_21_3.txt,0.002640164778981843,381262.7625111508,381262.7651513156,0
11,scenario_67,sol1_9_1.txt,33112.26443505317,478681.865643523,511794.13007857616,0
12,scenario_67,sol1_27_5.txt,4.771327415538271,406498.3470906324,406503.11841804796,0
13,scenario_67,sol1_27_4.txt,0.0018470436098508899,378905.1244648809,378905.12631192454,0
14,scenario_67,sol1_21_2.txt,0.002638725652982484,375223.69448257366,375223.69712129934,0
15,scenario_67,sol1_23_4.txt,0.0033710761475097984,384631.137828501,384631.14119957713,0
16,scenario_67,sol1_18_2.txt,0.0024336955923556693,392282.88720292575,392282.88963662134,0
17,scenario_67,sol1_9_4.txt,0.0041703784091187465,382319.23376977816,382319.2379401566,0
18,scenario_67,sol1_25_2.txt,0.0024347169122224555,393422.12128243916,393422.12371715606,0
19,scenario_67,sol1_25_3.txt,0.0024343866892098925,383804.38061625743,383804.38305064413,0
20,scenario_67,sol1_27_1.txt,1.390395769175972,446284.90760275186,446286.297998521,0
21,scenario_67,sol1_9_5.txt,0.8564204910505198,392895.0938747565,392895.95029524755,0
22,scenario_67,sol1_18_3.txt,0.0024336745714102683,384400.20721697295,384400.20965064754,0
23,scenario_67,sol1_23_5.txt,0.003372452325630911,382896.1850895469,382896.18846199923,0
24,scenario_67,sol1_18_1.txt,33112.26392142948,478681.8647200272,511794.12864145666,0
