scenario,stage1_cost,stage1_pen,stage2_pen,objective,solve_time,termination_status
scenario_180,45466.96657710217,0.2559783518592739,566238.911419829,611706.133975283,16.00567388534546,LOCALLY_SOLVED
scenario_181,45302.74507217442,0.2540312284336315,547009.5747687711,592312.5738721739,14.634183883666992,LOCALLY_SOLVED
scenario_182,45421.70844349024,0.256447192377527,561084.0239541715,606505.9888448541,25.704164028167725,NUMERICAL_ERROR
scenario_183,45623.21454436981,0.2544364707811268,589702.1047022215,635325.5736830621,7.191691875457764,LOCALLY_SOLVED
scenario_184,45318.69220199054,0.2500183035368105,540883.184974712,586202.127195006,17.70202898979187,LOCALLY_SOLVED
scenario_185,45866.3467819083,0.2570197983567024,599591.7020763047,645458.3058780114,13.282968997955322,LOCALLY_SOLVED
scenario_186,44766.92685578227,0.2500519607023214,513581.64480727643,558348.8217150194,29.170007944107056,LOCALLY_SOLVED
scenario_187,45458.09499235147,0.2564666994163295,565315.2855101421,610773.636969193,20.356209993362427,LOCALLY_SOLVED
scenario_188,45474.08407533882,0.2570243605423888,562994.6171489313,608468.9582486306,19.864917039871216,LOCALLY_SOLVED
scenario_189,44997.06821711471,0.2500317002516976,530033.08413486,575030.402383675,21.255884170532227,LOCALLY_SOLVED
scenario_190,45695.00369894271,0.2550491638028025,594281.0521591128,639976.3109072193,6.414191007614136,LOCALLY_SOLVED
scenario_191,45408.16848586222,0.2558328554212168,564601.1047563277,610009.5290750454,15.060028076171877,LOCALLY_SOLVED
scenario_192,45314.989622245645,0.2536891785934965,549548.1512966148,594863.3946080391,19.80009794235229,LOCALLY_SOLVED
scenario_193,45853.16158068306,0.2570667660014444,596548.1897528731,642401.6084003223,16.60749888420105,LOCALLY_SOLVED
scenario_194,45630.015080796606,0.2550673695750344,585117.2495712122,630747.5197193784,7.907166004180908,LOCALLY_SOLVED
scenario_195,45555.57336853588,0.2569595315702382,572945.7765460206,618501.6068740881,12.558701992034912,LOCALLY_SOLVED
scenario_196,45074.92326068825,0.2499911191045553,527792.6280573835,572867.8013091908,31.896075010299683,LOCALLY_SOLVED
scenario_197,45494.15381099509,0.253592380699103,565009.5016558648,610503.9090592406,15.48136591911316,LOCALLY_SOLVED
scenario_198,45808.65356787803,0.2570655160827117,597999.1587132545,643808.0693466486,5.141661882400513,LOCALLY_SOLVED
scenario_199,45273.13425618085,0.2501667429611289,543627.2341606888,588900.6185836126,18.89369297027588,NUMERICAL_ERROR
scenario_200,45641.02620123672,0.2539731171382402,581628.0640080079,627269.3441823617,10.268933057785034,LOCALLY_SOLVED
scenario_201,44584.8066586097,0.2432020072151941,491403.04269696656,535988.0925575835,21.391163110733032,LOCALLY_SOLVED
scenario_202,45598.55052602435,0.1057481198624201,569155.2062353991,614753.8625095433,26.19972515106201,NUMERICAL_ERROR
scenario_203,46064.16269033765,0.2545055167969962,585940.637989934,632005.0551857884,10.87229299545288,LOCALLY_SOLVED
scenario_204,44863.63912454256,0.2501919890327995,515203.6114350747,560067.5007516063,39.008930921554565,NUMERICAL_ERROR
scenario_205,46453.7315822033,0.2564614955993853,598203.6597749343,644657.6478186332,19.538403034210205,LOCALLY_SOLVED
